ROI time;9.0781
Total time;120.859
nodes;1
processes;1
threads;4
width;65536
height;131072
size;33
bin;count
0;33549748
1;33559349
2;33555042
3;33548870
4;33554514
5;33549421
6;33552197
7;33565651
8;33548265
9;33554073
10;33551867
11;33549674
12;33561822
13;33548903
14;33555006
15;33553070
16;33558489
17;33557320
18;33551906
19;33545289
20;33564545
21;33556659
22;33558252
23;33550807
24;33552421
25;33545285
26;33550580
27;33543357
28;33554901
29;33553546
30;33554268
31;33553827
32;33552086
33;33548392
34;33555606
35;33565600
36;33559715
37;33556475
38;33556995
39;33547637
40;33558372
41;33557174
42;33555358
43;33557253
44;33554909
45;33558761
46;33548985
47;33552784
48;33557616
49;33553137
50;33550121
51;33562293
52;33562263
53;33557829
54;33558482
55;33560386
56;33557790
57;33556373
58;33557160
59;33561119
60;33546424
61;33557017
62;33559628
63;33558366
64;33548932
65;33553192
66;33549751
67;33556982
68;33552781
69;33554816
70;33548449
71;33562402
72;33559244
73;33548026
74;33541282
75;33551661
76;33554458
77;33553348
78;33565243
79;33541450
80;33549697
81;33563358
82;33563782
83;33544220
84;33564446
85;33555123
86;33555365
87;33557927
88;33547491
89;33548266
90;33555821
91;33555611
92;33555186
93;33547931
94;33551579
95;33555777
96;33546349
97;33557868
98;33554292
99;33555804
100;33547214
101;33555645
102;33562238
103;33559454
104;33546604
105;33557972
106;33550252
107;33560583
108;33556931
109;33542571
110;33560896
111;33551337
112;33555764
113;33552648
114;33562600
115;33550962
116;33550263
117;33547302
118;33556442
119;33555854
120;33554150
121;33571850
122;33554357
123;33557285
124;33549866
125;33552669
126;33547866
127;33548550
128;33547734
129;33554477
130;33556705
131;33552031
132;33538306
133;33546388
134;33550872
135;33555876
136;33542193
137;33545548
138;33559858
139;33554524
140;33556857
141;33562670
142;33553264
143;33562391
144;33564384
145;33552604
146;33547198
147;33550876
148;33555136
149;33557938
150;33558508
151;33550479
152;33547357
153;33547280
154;33558001
155;33564966
156;33562658
157;33546818
158;33552811
159;33570732
160;33554854
161;33548992
162;33546536
163;33550214
164;33555140
165;33547408
166;33558961
167;33543721
168;33558123
169;33558787
170;33560989
171;33550040
172;33553978
173;33554188
174;33558458
175;33547018
176;33564082
177;33550379
178;33556601
179;33554410
180;33552820
181;33558354
182;33547673
183;33558977
184;33547541
185;33560063
186;33563876
187;33550445
188;33557053
189;33560400
190;33555408
191;33562558
192;33556581
193;33549364
194;33556286
195;33550098
196;33550650
197;33548837
198;33558709
199;33553294
200;33554284
201;33554041
202;33555029
203;33556831
204;33553324
205;33559527
206;33553245
207;33553876
208;33559402
209;33561338
210;33555868
211;33547353
212;33547812
213;33546356
214;33553870
215;33563844
216;33548297
217;33551359
218;33557135
219;33556099
220;33549317
221;33557688
222;33560339
223;33550451
224;33561568
225;33551252
226;33558320
227;33550580
228;33541345
229;33549407
230;33555745
231;33556675
232;33559923
233;33557872
234;33554708
235;33561878
236;33551241
237;33559060
238;33557667
239;33559102
240;33559978
241;33551033
242;33564495
243;33565040
244;33545434
245;33551969
246;33555106
247;33555634
248;33548595
249;33560806
250;33541893
251;33563759
252;33563206
253;33555612
254;33549062
255;33551571
